runtime,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score
194,7.7,756602,Certified Fresh,88,Upright,69
94,7.8,3998,Certified Fresh,93,Upright,91
112,6,19898,Rotten,46,Spilled,38
107,6.9,10786,Fresh,68,Upright,67
97,6.9,2857,Fresh,71,Spilled,58
89,7.8,9675,Certified Fresh,88,Upright,89
91,7.6,7545,Certified Fresh,87,Upright,88
82,4.5,2113,Rotten,9,Spilled,52
90,7.5,3448,Fresh,100,Upright,89
100,6,2441,Rotten,46,Spilled,55
108,6.2,12402,Fresh,63,Spilled,53
90,5.7,3373,Rotten,25,Upright,65
96,4.9,6322,Rotten,14,Spilled,33
91,7.3,9906,Fresh,63,Upright,74
113,7.2,15025,Certified Fresh,91,Upright,78
95,7.1,30826,Fresh,77,Upright,73
134,7.9,309896,Certified Fresh,93,Upright,89
104,5.4,7284,Rotten,7,Spilled,35
121,6.7,58907,Fresh,67,Upright,70
112,5.6,57251,Rotten,11,Spilled,48
85,2.8,3790,Rotten,8,Spilled,18
119,5.7,8818,Rotten,26,Spilled,41
99,4.3,11125,Rotten,6,Spilled,22
142,7.3,675907,Certified Fresh,84,Upright,81
95,4.9,2120,Rotten,40,Spilled,35
99,6.8,111132,Rotten,35,Upright,73
133,8.1,103378,Certified Fresh,94,Upright,95
100,6.1,13682,Rotten,17,Spilled,37
99,5.9,63672,Rotten,19,Spilled,40
112,7.1,6946,Fresh,85,Upright,72
136,6.4,3584,Rotten,38,Spilled,55
92,5.3,54363,Rotten,27,Upright,65
103,7.7,11197,Certified Fresh,95,Upright,81
114,7.4,96787,Certified Fresh,90,Upright,81
88,6.8,16366,Fresh,77,Upright,73
88,7.2,134270,Certified Fresh,88,Upright,74
116,5.2,11657,Rotten,36,Spilled,35
97,5.9,8345,Rotten,44,Spilled,26
82,6.7,46794,Rotten,29,Upright,81
87,5.9,10087,Fresh,80,Spilled,52
120,5.8,66054,Rotten,31,Spilled,34
97,4.2,43574,Rotten,17,Spilled,51
